source_year,trip_distance,total_amount
2017,1.2,8.16
2017,1.32,7.8
2017,4.27,17.93
2017,2.25,11.8
2017,0.2,5.3
2017,0.4,5.75
2017,7.0,40.36
2017,1.25,9.36
2017,6.97,34.56
2017,9.5,31.3
2017,3.4,15.0
2017,5.5,22.55
2017,2.41,14.76
2017,0.9,6.8
2017,0.7,5.3
2017,1.5,10.55
2017,1.1,8.75
2017,8.8,37.06
2017,2.4,14.1
2017,1.0,8.3
2017,5.1,19.8
2017,2.1,11.3
2017,1.8,11.75
2017,2.14,14.69
2017,0.87,6.8
2017,1.84,11.16
2017,0.42,5.8
2017,3.08,15.38
2017,2.39,12.96
2017,1.0,7.3
2017,2.0,11.75
2017,1.6,8.8
2017,1.26,12.25
2017,7.44,33.54
2017,2.0,12.85
2017,2.6,14.15
2017,2.5,15.3
2017,7.6,30.95
2017,2.76,14.12
2017,1.08,6.8
2017,0.64,8.16
2017,19.73,70.27
2017,1.61,8.3
2017,1.2,7.3
2017,1.17,6.8
2017,0.72,6.3
2017,2.94,14.3
2017,2.9,16.55
2017,3.6,18.95
2017,1.87,11.16
2017,1.19,6.8
2017,5.14,24.36
2017,1.3,8.16
2017,2.35,11.0
2017,3.61,15.3
2017,1.22,9.8
2017,1.08,7.3
2017,9.3,36.3
2017,1.8,12.3
2017,1.7,10.55
2017,2.0,12.0
2017,6.1,26.16
2017,4.6,19.8
2017,16.6,50.8
2017,5.15,24.36
2017,14.0,40.8
2017,1.5,8.8
2017,1.4,9.3
2017,1.0,8.3
2017,1.2,9.8
2017,9.7,30.3
2017,1.92,9.3
2017,1.63,10.3
2017,1.2,7.8
2017,1.5,12.3
2017,1.9,9.8
2017,0.6,6.3
2017,0.13,5.59
2017,2.15,12.36
2017,0.94,7.56
2017,2.24,12.36
2017,1.77,10.56
2017,4.35,14.8
2017,18.15,67.56
2017,0.6,6.8
2017,0.9,8.75
2017,4.1,20.15
2017,2.5,11.8
2017,1.4,8.8
2017,3.16,15.96
2017,0.7,8.0
2017,0.8,8.15
2017,4.5,19.8
2017,1.33,8.76
2017,0.78,6.89
2017,1.2,9.36
2017,4.3,17.8
2017,0.75,6.8
2017,2.19,11.0
2017,2.58,12.36
2017,4.33,20.16
2017,1.3,8.8
2017,6.7,28.3
2017,11.23,37.3
2017,1.02,6.8
2017,3.31,15.96
2017,3.3,14.8
2017,1.6,9.95
2017,3.2,14.3
2017,2.5,12.8
2017,9.02,50.3
2017,6.6,23.8
2017,3.2,14.0
2017,0.7,6.3
2017,4.3,20.15
2017,1.16,10.79
2017,0.31,4.3
2017,5.64,21.96
2017,3.2,16.64
