source_year,pickup_week,pickup_yearweek,payment_type,total_rides,total_revenue,avg_fare
2022,36,2022-W36,1,586047,13799338.28859343,23.54647031482702
2022,36,2022-W36,2,148773,2834302.679954827,19.05118993335368
2022,36,2022-W36,3,3244,24432.55973789096,7.53161520896762
2022,36,2022-W36,4,3824,-38319.569770395756,-10.020807994350355
2022,37,2022-W37,0,31033,909959.0488576889,29.32230363992166
2022,37,2022-W37,1,512627,11971425.517012248,23.35309204745799
2022,37,2022-W37,2,123185,2320252.3554550707,18.835510455453754
2022,37,2022-W37,3,3229,24937.459793627262,7.722966798893546
2022,37,2022-W37,4,4355,-9675.459907472134,-2.2216899902347036
2022,38,2022-W38,0,29331,882126.768611908,30.074895796662506
2022,38,2022-W38,1,577644,14005675.360938549,24.246205900067427
2022,38,2022-W38,2,141425,2740638.479920298,19.378741240376865
2022,38,2022-W38,3,4612,41351.35968363285,8.966036358116403
2022,38,2022-W38,4,7001,205306.24546957016,29.32527431360808
2022,39,2022-W39,0,17678,492266.54912137985,27.846280638159286
2022,39,2022-W39,1,450232,10363941.336693093,23.019113116555673
2022,39,2022-W39,2,107321,1983675.030299157,18.48356826994863
2022,39,2022-W39,3,3225,30381.719928622246,9.420688349960386
2022,39,2022-W39,4,5018,11530.609889566898,2.297849718925249
2023,35,2023-W35,0,7875,232455.36984801292,29.518142202922277
2023,35,2023-W35,1,183282,5688549.053921223,31.037139784164417
2023,35,2023-W35,2,50915,1468616.7299125195,28.844480603211615
2023,35,2023-W35,3,1808,18561.580008506775,10.266360624174101
2023,35,2023-W35,4,4228,9658.94997215271,2.284519860963271
2023,36,2023-W36,0,31871,958515.1596210096,30.074837928556043
2023,36,2023-W36,1,598182,18491222.589969523,30.91236879406188
2023,36,2023-W36,2,124576,3333637.752343416,26.759871502885115
2023,36,2023-W36,3,4715,53094.45010507107,11.26075293850924
2023,36,2023-W36,4,10256,21750.470039367676,2.120755659064711
2023,37,2023-W37,0,33857,1025613.7395900488,30.292516749565785
2023,37,2023-W37,1,620168,19325590.7171861,31.161863748510243
2023,37,2023-W37,2,124101,3200369.1893037558,25.7884238588227
2023,37,2023-W37,3,4794,53056.54004859924,11.06727994338741
2023,37,2023-W37,4,10663,25740.86003792286,2.4140354532423203
2023,38,2023-W38,0,33391,994486.4197554681,29.78306788522261
2023,38,2023-W38,1,271773,8747626.039720306,32.187252007080566
2023,38,2023-W38,2,54685,1443334.3941075802,26.39360691428326
2023,38,2023-W38,3,2101,22041.100039482117,10.490766320553126
2023,38,2023-W38,4,4626,10604.750021219254,2.2924232644226663
2023,39,2023-W39,0,33231,1060969.599544067,31.927104196204354
