source_year,pickup_week,pickup_yearweek,passenger_count,total_rides,total_revenue,avg_fare
2023,36,2023-W36,5,9813,287432.800388813,29.291022153145114
2023,36,2023-W36,6,6517,180868.53998839855,27.753343561208922
2023,36,2023-W36,7,1,85.80000305175781,85.80000305175781
2023,36,2023-W36,8,6,602.6199951171875,100.43666585286458
2023,36,2023-W36,9,2,189.98999786376953,94.99499893188477
2023,37,2023-W37,0,44973,1318442.1697608232,29.316304666373675
2023,37,2023-W37,1,584196,16979351.366886385,29.064477276267528
2023,37,2023-W37,2,110868,3693655.639269471,33.315795714448456
2023,37,2023-W37,3,24365,744444.1098520756,30.553831719765057
2023,37,2023-W37,4,12481,406504.29997336864,32.569850170128085
2023,37,2023-W37,5,10131,300146.590287447,29.626551207920933
2023,37,2023-W37,6,6564,187351.38013136387,28.542257789665427
2023,37,2023-W37,7,2,186.3000030517578,93.1500015258789
2023,37,2023-W37,8,2,197.19000244140625,98.59500122070312
2023,37,2023-W37,9,1,92.0,92.0
2023,38,2023-W38,0,37939,1118812.7798044775,29.489780431863714
2023,38,2023-W38,1,266169,7972403.493917713,29.95241179069581
2023,38,2023-W38,2,42610,1477630.8996970654,34.678030971534035
2023,38,2023-W38,3,8453,281312.9600057602,33.27965929324029
2023,38,2023-W38,4,4130,148131.79001760483,35.86726150547332
2023,38,2023-W38,5,4424,133955.5601286888,30.279285743374505
2023,38,2023-W38,6,2842,85055.27006816864,29.927962726308458
2023,38,2023-W38,7,5,368.3100051879883,73.66200103759766
2023,38,2023-W38,8,2,210.58999633789062,105.29499816894531
2023,38,2023-W38,9,2,211.0500030517578,105.5250015258789
2023,39,2023-W39,0,42077,1310936.7093351074,31.155660083539875
2023,39,2023-W39,1,492075,14025400.871088803,28.50256743603882
2023,39,2023-W39,2,90653,2979075.739251137,32.86240653096022
2023,39,2023-W39,3,19585,606133.1497969627,30.94884604528786
2023,39,2023-W39,4,10480,331547.8799791336,31.636248089611986
2023,39,2023-W39,5,8536,247496.3102567196,28.99441310411429
2023,39,2023-W39,6,5408,153808.35004520416,28.440893129660534
2023,39,2023-W39,7,3,318.8199996948242,106.27333323160808
2023,39,2023-W39,8,3,303.25000762939453,101.08333587646484
2023,39,2023-W39,9,3,329.09000396728516,109.69666798909505
2024,35,2024-W35,0,13923,323477.6701157186,23.233331186936624
2024,35,2024-W35,1,51672,1472032.4684784412,28.488010304970608
2024,35,2024-W35,2,15240,495590.6196862459,32.519069533218236
2024,35,2024-W35,3,4293,134943.53985071182,31.433389203520107
2024,35,2024-W35,4,3402,112034.8099834919,32.932042911079336
2024,35,2024-W35,5,631,18571.749997615814,29.43225039241809
2024,35,2024-W35,6,352,10304.630029678345,29.274517129768025
2024,35,2024-W35,7,3,244.0,81.33333333333333
2024,35,2024-W35,9,1,91.0,91.0
2024,36,2024-W36,0,105315,2549428.229741592,24.207645916931035
2024,36,2024-W36,1,538801,15396774.984315533,28.575995561098686
2024,36,2024-W36,2,107860,3610407.3783732653,33.47308898918288
2024,36,2024-W36,3,23239,748547.7596080303,32.21084210198504
2024,36,2024-W36,4,14088,502929.679762125,35.69915387295038
2024,36,2024-W36,5,5279,158549.77031111717,30.034053857002686
2024,36,2024-W36,6,3588,100133.05000185966,27.90776198491072
2024,36,2024-W36,8,3,299.5,99.83333333333333
