source_year,pickup_hour,dropoff_hour,total_rides,total_revenue,avg_fare
2018,10,0,62,2237.9099962711334,36.09532252050215
2018,10,7,1,64.41999816894531,64.41999816894531
2018,10,8,5,304.3400077819824,60.868001556396486
2018,10,9,259,5047.989968776703,19.49030875975561
2018,10,10,275574,3637934.426005602,13.201297749445166
2018,10,11,97155,2374293.1330701113,24.438198065669408
2018,10,12,706,47581.849907934666,67.39638797157885
2018,10,13,17,1370.0299949645996,80.58999970379998
2018,10,14,2,302.89999771118164,151.44999885559082
2018,10,15,2,311.36000061035156,155.68000030517578
2018,11,0,70,2008.4499855041504,28.692142650059292
2018,11,8,1,7.800000190734863,7.800000190734863
2018,11,9,2,95.36000061035156,47.68000030517578
2018,11,10,286,6375.609965324402,22.29234253609931
2018,11,11,283246,3778479.58689636,13.339922141517832
2018,11,12,104819,2523511.981791377,24.07494807040114
2018,11,13,465,32786.25990015268,70.50808580677996
2018,11,14,10,838.4900054931641,83.8490005493164
2018,11,15,1,58.560001373291016,58.560001373291016
2018,11,16,1,58.560001373291016,58.560001373291016
2018,11,17,2,129.32000350952148,64.66000175476074
2018,11,18,1,945.7999877929688,945.7999877929688
2018,12,0,65,2289.9799947738647,35.23046145805946
2018,12,5,1,37.29999923706055,37.29999923706055
2018,12,9,1,6.960000038146973,6.960000038146973
2018,12,10,10,412.00000858306885,41.200000858306886
2018,12,11,239,4758.1299929618835,19.908493694401187
2018,12,12,304482,4132847.716879368,13.573372865651722
2018,12,13,109195,2707994.9707139134,24.799624256732574
2018,12,14,532,35918.359884262085,67.51571406816181
2018,12,15,20,2176.400001525879,108.82000007629395
2018,12,16,5,228.04000163078308,45.60800032615661
2018,12,17,2,103.39999771118164,51.69999885559082
2018,13,0,77,2462.0399985313416,31.974545435471967
2018,13,8,1,41.95000076293945,41.95000076293945
2018,13,10,1,27.299999237060547,27.299999237060547
2018,13,11,13,706.8199996948242,54.370769207294174
2018,13,12,208,4764.599994659424,22.906730743554924
2018,13,13,305615,4120158.1263760626,13.4815310975445
2018,13,14,111077,2874242.4886316657,25.876126368480115
2018,13,15,900,62631.27992224693,69.59031102471882
2018,13,16,17,2048.2000102996826,120.48235354704015
2018,13,17,5,404.0499954223633,80.80999908447265
2018,13,18,2,132.86000442504883,66.43000221252441
2018,13,19,1,335.79998779296875,335.79998779296875
2018,14,0,108,3210.71998667717,29.72888876552935
2018,14,9,1,51.060001373291016,51.060001373291016
2018,14,10,1,59.79999923706055,59.79999923706055
2018,14,12,5,187.10000324249268,37.42000064849854
2018,14,13,297,6619.909972667694,22.289259167231293
2018,14,14,315389,4264766.2072194815,13.522241445388017
2018,14,15,121374,3277351.488854468,27.002088493865802
2018,14,16,2017,138980.9196804762,68.90476930117808
2018,14,17,29,1883.8300140500069,64.95965565689679
2018,14,18,6,255.05000072717667,42.50833345452944
2018,14,19,1,77.4000015258789,77.4000015258789
2018,14,20,1,58.560001373291016,58.560001373291016
2018,14,21,2,152.47000122070312,76.23500061035156
2018,15,0,73,2897.539969921112,39.692328355083724
2018,15,8,1,60.79999923706055,60.79999923706055
2018,15,9,1,1.5,1.5
2018,15,12,1,63.36000061035156,63.36000061035156
2018,15,13,6,243.21000385284424,40.53500064214071
2018,15,14,352,7431.559974074364,21.112386289983988
2018,15,15,314804,4184607.9771319926,13.292740807397596
2018,15,16,116650,3194265.897641659,27.383333884626307
2018,15,17,2182,153487.41980320215,70.34253886489557
2018,15,18,30,3036.2400245666504,101.20800081888835
2018,15,19,3,324.6000032424927,108.20000108083089
2018,15,20,1,78.5999984741211,78.5999984741211
2018,16,0,104,4209.260005474091,40.47365389878933
2018,16,9,1,65.16000366210938,65.16000366210938
2018,16,10,1,3.299999952316284,3.299999952316284
2018,16,12,1,66.20999908447266,66.20999908447266
2018,16,14,7,273.2900056838989,39.04142938341413
2018,16,15,315,6656.809993267059,21.132730137355743
2018,16,16,296971,4150824.5452697873,13.977204997355928
2018,16,17,110813,3191949.2007229924,28.804826155081013
2018,16,18,2654,194477.76021766663,73.27722690944485
2018,16,19,23,2820.8299980163574,122.64478252245033
2018,16,20,5,506.54000091552734,101.30800018310546
2018,16,23,1,9.800000190734863,9.800000190734863
2018,17,0,91,3052.8699843883514,33.5480218064654
2018,17,10,1,75.66999816894531,75.66999816894531
2018,17,15,11,425.5900025367737,38.69000023061579
2018,17,16,387,8469.679974079132,21.885477969196725
2018,17,17,332533,4527865.125269949,13.616288083498327
2018,17,18,130848,3570996.5478908718,27.291181736754645
2018,17,19,1854,135792.08033943176,73.24276177962878
2018,17,20,15,1891.5199928283691,126.10133285522461
2018,17,21,3,364.9000053405762,121.63333511352539
2018,17,22,1,78.5999984741211,78.5999984741211
2018,18,0,71,2820.7699880599976,39.72915476140842
2018,18,6,4,78.65000134706497,19.662500336766243
2018,18,9,1,255.55999755859375,255.55999755859375
2018,18,11,1,7.800000190734863,7.800000190734863
2018,18,12,1,17.299999237060547,17.299999237060547
2018,18,15,2,78.81999969482422,39.40999984741211
2018,18,16,8,351.0900068283081,43.88625085353851
2018,18,17,343,7509.47998714447,21.893527659313325
2018,18,18,382140,5230635.055507341,13.687745474190981
2018,18,19,128377,3282112.21835953,25.566201253803484
2018,18,20,579,44656.51015931368,77.12696055149168
2018,18,21,11,1119.2400100827217,101.74909182570197
2018,18,22,1,63.060001373291016,63.060001373291016
2018,18,23,3,457.3600044250488,152.4533348083496
2018,19,0,65,2351.2499895095825,36.173076761685884
2018,19,16,2,66.81999969482422,33.40999984741211
2018,19,17,5,220.93999481201172,44.18799896240235
2018,19,18,274,5423.609975814819,19.794196992024887
2018,19,19,381708,5285265.445547491,13.846357544372902
2018,19,20,117575,2881514.2085821033,24.50788185058136
2018,19,21,298,22736.650019466877,76.2974832868016
2018,19,22,13,1255.2199935913086,96.55538412240836
2018,19,23,4,143.34999805688858,35.837499514222145
2018,20,0,91,2827.809988975525,31.074835043687088
2018,20,17,3,157.31000137329102,52.436667124430336
2018,20,18,6,345.3099994659424,57.551666577657066
2018,20,19,310,7257.959941148758,23.41277400370567
2018,20,20,355323,4996619.942846805,14.062191141149897
2018,20,21,104826,2608715.357950747,24.886148073481266
2018,20,22,264,20054.09003853798,75.96246226718931
2018,20,23,7,851.3499870300293,121.62142671857562
2018,21,0,86,2992.8599771261215,34.80069740844328
2018,21,1,1,12.800000190734863,12.800000190734863
2018,21,2,2,52.30000019073486,26.15000009536743
2018,21,3,1,0.3100000023841858,0.3100000023841858
2018,21,4,1,500.29998779296875,500.29998779296875
2018,21,14,1,22.110000610351562,22.110000610351562
2018,21,18,2,74.30000019073486,37.15000009536743
2018,21,19,7,392.52999782562256,56.07571397508894
2018,21,20,241,5104.499969959259,21.180497800660827
2018,21,21,341590,4953042.931773245,14.499964670433108
2018,21,22,101160,2484309.638340473,24.55822101957763
2018,21,23,147,11572.330045104027,78.72333364016345
2018,22,0,135,8163.049994528294,60.467036996505875
2018,22,1,5,350.06999665498734,70.01399933099746
2018,22,2,1,71.4000015258789,71.4000015258789
2018,22,4,1,52.79999923706055,52.79999923706055
2018,22,5,1,20.559999465942383,20.559999465942383
2018,22,15,1,9.800000190734863,9.800000190734863
2018,22,19,2,53.69999980926514,26.84999990463257
2018,22,20,7,290.0899991989136,41.44142845698765
2018,22,21,272,5414.3200035095215,19.90558824819677
2018,22,22,324031,4832739.2890153825,14.91443500472295
2018,22,23,91082,2259960.268304944,24.812369823949233
2018,23,0,71995,1863387.9192780852,25.882185141719358
2018,23,1,110,9945.169981241226,90.41063619310205
2018,23,2,2,260.55999755859375,130.27999877929688
2018,23,3,1,0.3100000023841858,0.3100000023841858
2018,23,5,3,5.410000205039978,1.8033334016799927
2018,23,6,4,41.40000057220459,10.350000143051147
2018,23,14,1,30.81999969482422,30.81999969482422
2018,23,17,1,4.300000190734863,4.300000190734863
2018,23,20,1,31.559999465942383,31.559999465942383
2018,23,21,10,365.86000537872314,36.586000537872316
2018,23,22,201,4202.929973602295,20.910099371155695
2018,23,23,270747,4162419.0261812806,15.373832493735039
2019,0,0,161967,2967032.4849874973,18.318746936027075
2019,0,1,35790,984294.7401589751,27.501948593433227
2019,0,2,31,3259.430006980896,105.14290345099664
2019,0,3,1,19.799999237060547,19.799999237060547
2019,0,4,2,118.60000324249268,59.30000162124634
2019,0,6,1,25.799999237060547,25.799999237060547
2019,0,7,1,61.41999816894531,61.41999816894531
2019,0,8,1,56.29999923706055,56.29999923706055
2019,0,9,1,8.300000190734863,8.300000190734863
2019,0,10,3,267.99999237060547,89.33333079020183
2019,0,11,10,1018.5000154972076,101.85000154972076
2019,0,12,6,1118.0999693870544,186.3499948978424
2019,0,13,19,1735.8999934196472,91.36315754840248
2019,0,14,19,1243.1000061035156,65.42631611071135
2019,0,15,13,637.4199872016907,49.03230670782236
2019,0,16,7,451.1000118255615,64.44285883222308
2019,0,17,13,749.6699981689453,57.666922936072716
2019,0,18,5,129.48000049591064,25.896000099182128
2019,0,19,1,7.300000190734863,7.300000190734863
2019,0,20,1,12.800000190734863,12.800000190734863
2019,0,21,1,14.800000190734863,14.800000190734863
2019,0,22,6,186.40000343322754,31.066667238871258
2019,0,23,125,2736.719982624054,21.893759860992432
2019,1,0,188,4507.849972724915,23.977925386834652
2019,1,1,115801,2029461.3809049726,17.525421895363362
2019,1,2,23145,564092.1744909883,24.37209654314056
2019,1,3,19,901.7300125360489,47.45947434400257
2019,1,4,2,287.2200012207031,143.61000061035156
2019,1,5,1,118.80000305175781,118.80000305175781
2019,1,11,1,292.79998779296875,292.79998779296875
2019,1,21,1,75.95999908447266,75.95999908447266
2019,1,22,1,11.800000190734863,11.800000190734863
2019,1,23,6,168.4899959564209,28.081665992736816
2019,2,0,27,643.6700038909912,23.839629773740416
2019,2,1,110,2068.2399892807007,18.802181720733643
2019,2,2,83613,1402038.973938167,16.76819362943761
2019,2,3,15455,370310.44639497995,23.960559456161757
2019,2,4,16,1864.6400003433228,116.54000002145767
2019,2,5,7,641.9200134277344,91.70285906110492
2019,2,6,2,221.64999389648438,110.82499694824219
2019,2,7,1,20.799999237060547,20.799999237060547
2019,2,9,1,14.100000381469727,14.100000381469727
2019,2,14,1,370.79998779296875,370.79998779296875
2019,2,15,1,6.800000190734863,6.800000190734863
2019,3,0,29,758.8099908828735,26.165861754581847
2019,3,1,5,80.05999851226807,16.011999702453615
2019,3,2,93,1816.8599939346313,19.536128967039048
2019,3,3,56070,946018.6357118189,16.87209979867699
2019,3,4,11474,300287.966994822,26.171166724317764
2019,3,5,13,937.3500061035156,72.10384662334735
2019,3,7,1,18.299999237060547,18.299999237060547
2019,3,17,1,490.79998779296875,490.79998779296875
2019,4,0,25,764.2200012207031,30.568800048828123
2019,4,1,2,21.479999542236328,10.739999771118164
2019,4,2,2,93.93000221252441,46.96500110626221
2019,4,3,58,1182.4099941253662,20.38637920905804
2019,4,4,42419,830670.2941661477,19.582505343505215
