pickup_hour,dropoff_hour,total_rides,total_revenue,avg_fare
20,20,1764434,41223736.502490796,23.363716921398474
20,21,591975,22567224.75503218,38.12192196466435
20,22,1181,134952.2303237915,114.26945836053471
20,23,57,5945.240026473999,104.302456604807
21,0,228,15490.340007781982,67.94008775342975
21,1,11,489.0500068664551,44.4590915333141
21,2,5,1091.7900009155273,218.35800018310547
21,3,4,585.0500059127808,146.2625014781952
21,4,2,104.14999771118164,52.07499885559082
21,5,6,276.5700035095215,46.09500058492025
21,6,6,128.00000190734863,21.333333651224773
21,7,8,236.07000255584717,29.508750319480896
21,8,11,414.3000011444092,37.66363646767356
21,9,4,57.5,14.375
21,10,4,161.2400026321411,40.31000065803528
21,11,4,110.89999961853027,27.72499990463257
21,12,9,360.19000148773193,40.02111127641466
21,13,5,147.11999893188477,29.423999786376953
21,14,4,191.25,47.8125
21,15,5,76.0,15.2
21,16,2,91.75,45.875
21,17,2,186.34000396728516,93.17000198364258
21,18,7,348.81000423431396,49.830000604902
21,19,31,1510.8100261688232,48.73580729576849
21,20,336,11114.380043029785,33.078512032826744
21,21,1803262,42742690.433234006,23.70298405513675
21,22,600819,22351390.554415274,37.201537492015525
21,23,982,123277.18032550812,125.53684350866408
22,0,1453,165647.78049564362,114.00397831771755
22,1,48,9076.060012817383,189.08458360036215
22,2,7,1913.250015258789,273.3214307512556
22,3,4,175.45000171661377,43.86250042915344
22,4,1,141.89999389648438,141.89999389648438
22,5,10,440.46000480651855,44.046000480651855
22,6,12,524.2400088310242,43.68666740258535
22,7,8,272.7800016403198,34.09750020503998
22,8,9,290.8900022506714,32.32111136118571
22,9,7,144.03000164031982,20.57571452004569
22,10,5,204.92999744415283,40.985999488830565
22,11,10,513.6500015258789,51.36500015258789
22,12,4,121.68000030517578,30.420000076293945
22,13,8,141.68999862670898,17.711249828338623
22,14,5,163.79000186920166,32.75800037384033
22,15,6,216.35000228881836,36.05833371480306
22,16,4,158.8000020980835,39.700000524520874
22,17,2,116.54000091552734,58.27000045776367
22,18,7,355.6199941635132,50.80285630907331
22,19,18,797.7000102996826,44.316667238871254
22,20,24,1296.439995765686,54.01833315690359
22,21,308,9939.060030937195,32.26967542512076
22,22,1699095,41424878.79839913,24.380554823832174
22,23,527305,20337960.897994384,38.569634078937966
23,0,392187,16302972.679137954,41.569385724508855
23,1,847,115227.49050235748,136.0419014195484
23,2,45,11584.860013008118,257.4413336224026
23,3,5,315.63000106811523,63.126000213623044
23,4,5,1016.5599975585938,203.31199951171874
23,5,11,401.2400074005127,36.476364309137516
23,6,15,1068.479992866516,71.23199952443441
23,7,9,316.1300048828125,35.12555609809028
23,8,8,409.580002784729,51.197500348091125
23,9,14,930.3899984359741,66.45642845971244
23,10,11,348.5000066757202,31.681818788701836
23,11,14,954.2000303268433,68.15714502334595
23,12,6,824.0399789810181,137.33999649683633
23,13,9,446.02000617980957,49.557778464423286
23,14,12,429.45000076293945,35.787500063578285
23,15,6,288.7700023651123,48.128333727518715
23,16,14,1073.9500017166138,76.71071440832955
23,17,4,308.8100070953369,77.20250177383423
23,18,6,246.00000286102295,41.00000047683716
23,19,10,558.1200046539307,55.81200046539307
23,20,13,565.9199991226196,43.532307624816895
23,21,22,1205.6700048446655,54.803182038393885
23,22,254,8387.340021133423,33.021023705249696
23,23,1338440,33334494.156617455,24.9054826190322
