pickup_year,pickup_week,pickup_yearweek,passenger_count,total_rides,total_revenue,avg_fare
2024,40,2024-W40,3,23049,691410.3493690491,29.997412007854965
2024,40,2024-W40,4,13516,446615.24949872494,33.04344846838746
2024,40,2024-W40,5,5015,146044.10024547577,29.121455682049007
2024,40,2024-W40,6,3436,95630.64996623993,27.831970304493577
2024,41,2024-W41,0,98731,2332401.8899447806,23.623804984703696
2024,41,2024-W41,1,605191,16976090.68068576,28.050798311088165
2024,41,2024-W41,2,111619,3583524.2070758343,32.10496606380486
2024,41,2024-W41,3,25743,789071.9393837452,30.65190301766481
2024,41,2024-W41,4,15988,522098.269575119,32.65563357362516
2024,41,2024-W41,5,5101,151818.87013220787,29.762570110215226
2024,41,2024-W41,6,3100,87531.73994207382,28.236045142604457
2024,41,2024-W41,7,2,162.99000549316406,81.49500274658203
2024,41,2024-W41,8,8,792.9000015258789,99.11250019073486
2024,41,2024-W41,9,3,309.0500030517578,103.01666768391927
2024,42,2024-W42,0,105600,2486118.340551112,23.542787315824924
2024,42,2024-W42,1,613437,17536782.420043945,28.58774808178174
2024,42,2024-W42,2,117197,3815251.64651227,32.554174991785366
2024,42,2024-W42,3,26409,832146.0891358852,31.50994316846095
2024,42,2024-W42,4,15938,547206.2994685173,34.3334357804315
2024,42,2024-W42,5,5470,164414.49015331268,30.057493629490434
2024,42,2024-W42,6,3743,106625.62016248703,28.486673834487586
2024,42,2024-W42,8,2,207.9000015258789,103.95000076293945
2024,43,2024-W43,0,98949,2478665.3506238125,25.049928252168414
2024,43,2024-W43,1,628566,17815450.329504848,28.343006668360758
2024,43,2024-W43,2,119216,3818131.717008829,32.02700742357426
2024,43,2024-W43,3,26490,832434.8894915581,31.424495639545416
2024,43,2024-W43,4,16364,566467.0595650673,34.61666215870614
2024,43,2024-W43,5,5279,161186.67043328285,30.533561362622248
2024,43,2024-W43,6,3597,104736.94014644623,29.11785936793056
2024,43,2024-W43,8,2,218.02999877929688,109.01499938964844
2024,43,2024-W43,9,2,204.2699966430664,102.1349983215332
2024,44,2024-W44,0,106785,2623404.640035117,24.567164302431213
2024,44,2024-W44,1,616730,17234918.52782488,27.945646438189936
2024,44,2024-W44,2,118936,3702069.1370266676,31.126565018385246
