pickup_year,pickup_week,pickup_yearweek,payment_type,total_rides,total_revenue,avg_fare
2024,28,2024-W28,0,70680,1624186.8893664032,22.97944099273349
2024,28,2024-W28,1,540813,16421394.448499918,30.364274617104098
2024,28,2024-W28,2,105221,2506015.24664557,23.816683424844562
2024,28,2024-W28,3,5443,45918.950020074844,8.436331071114246
2024,28,2024-W28,4,15272,29383.030010461807,1.9239804878510873
2024,29,2024-W29,0,96629,2329132.3793071155,24.103865085089524
2024,29,2024-W29,1,557869,17003319.778055668,30.479054720831716
2024,29,2024-W29,2,106563,2566512.4062064886,24.084460893616814
2024,29,2024-W29,3,5993,48533.689980864525,8.098396459346658
2024,29,2024-W29,4,15729,30221.32016456127,1.921375813119796
2024,30,2024-W30,0,59495,1418449.7795883808,23.841495580945974
2024,30,2024-W30,1,532168,16214728.557054281,30.469191227308446
2024,30,2024-W30,2,103584,2469681.035899639,23.84230224648246
2024,30,2024-W30,3,5714,48356.26003944874,8.462768645335796
2024,30,2024-W30,4,15138,24682.57002234459,1.6305040310704577
2024,30,2024-W30,5,2,0.0,0.0
2024,31,2024-W31,0,68762,1716690.0694247223,24.96567972753443
2024,31,2024-W31,1,532069,15879591.607437849,29.8449855327746
2024,31,2024-W31,2,103618,2447123.876323819,23.61678353494392
2024,31,2024-W31,3,5857,50576.3200327158,8.635192083441318
2024,31,2024-W31,4,15339,27262.350039720535,1.7773225138353566
2024,32,2024-W32,0,73984,1826533.7293645013,24.68822622951586
2024,32,2024-W32,1,508029,15490214.119280815,30.490806861972082
2024,32,2024-W32,2,100457,2429696.1064372063,24.18642908346065
2024,32,2024-W32,3,5588,47898.49005532265,8.571669659148649
2024,32,2024-W32,4,15325,28789.790031075478,1.8786159889771927
2024,33,2024-W33,0,45324,1100325.7193985134,24.276889052125
2024,33,2024-W33,1,479928,14449290.779984474,30.107205205748517
2024,33,2024-W33,2,99566,2376806.316312909,23.871666194412843
2024,33,2024-W33,3,5669,44031.97000128031,7.767149409292698
2024,33,2024-W33,4,15261,25557.570060014725,1.6746982543748592
2024,34,2024-W34,0,40545,980872.4196750168,24.192191877543884
2024,34,2024-W34,1,473476,14827807.661441326,31.31691503147219
2024,34,2024-W34,2,99599,2446586.6060369015,24.56436918078396
2024,34,2024-W34,3,5569,42938.84002876282,7.7103322012502815
2024,34,2024-W34,4,15740,29082.620051145554,1.8476886944819284
2024,35,2024-W35,0,57949,1377538.860123938,23.771572591829678
2024,35,2024-W35,1,474698,14908949.590430021,31.40723068230753
2024,35,2024-W35,2,104048,2527874.4162112474,24.29527156899938
2024,35,2024-W35,3,5529,42862.63004279137,7.752329542917592
2024,35,2024-W35,4,16709,27165.9500105381,1.6258273990387277
2024,36,2024-W36,0,98451,2373624.7896917053,24.10970726241181
2024,36,2024-W36,1,575801,18138987.016093034,31.50218046876097
2024,36,2024-W36,2,101526,2479959.3562128544,24.426839983973114
2024,36,2024-W36,3,5880,45605.240040779114,7.755993204214135
2024,36,2024-W36,4,16515,28893.950075149536,1.7495579821465053
2024,37,2024-W37,0,128251,3058945.520407684,23.851241085119682
2024,37,2024-W37,1,609432,18686760.182165742,30.662584475652316
2024,37,2024-W37,2,105024,2493853.756551504,23.74556060092459
2024,37,2024-W37,3,5963,46058.950070858,7.724123775089385
2024,37,2024-W37,4,17087,30849.220019578934,1.805420496259082
2024,38,2024-W38,0,125990,2994697.980512658,23.769330744604
2024,38,2024-W38,1,645833,20000247.699240923,30.968141453349276
2024,38,2024-W38,2,107639,2555364.507169366,23.740136076787834
2024,38,2024-W38,3,6098,45753.98005247116,7.503112504504946
2024,38,2024-W38,4,17960,34789.47006547451,1.9370528989685138
2024,39,2024-W39,0,110829,2667733.4307016376,24.070716425318622
2024,39,2024-W39,1,634259,19773797.101109028,31.17621839202759
2024,39,2024-W39,2,102746,2474374.2659418583,24.08243888756602
2024,39,2024-W39,3,5763,47973.8501098156,8.324457766756133
2024,39,2024-W39,4,17686,32360.610077142715,1.8297302995105007
2024,40,2024-W40,0,66682,1549796.3502701838,23.241599686124946
2024,40,2024-W40,1,592986,18051341.253559113,30.441429061662692
2024,40,2024-W40,2,104146,2410073.946239829,23.14130111804418
2024,40,2024-W40,3,5927,46731.680134534836,7.884541949474412
2024,40,2024-W40,4,17391,29363.250029325485,1.688416423973635
2024,41,2024-W41,0,91310,2138343.8699850924,23.418506954168134
2024,41,2024-W41,1,643647,19724196.14047575,30.644431094180117
2024,41,2024-W41,2,106547,2507494.606177926,23.534164323518503
2024,41,2024-W41,3,6029,45939.96007013321,7.619830829347024
2024,41,2024-W41,4,17953,27827.960040688515,1.5500451200739995
2024,42,2024-W42,0,98289,2296906.8605503775,23.368910667016426
2024,42,2024-W42,1,656067,20515808.12867832,31.270903930053365
2024,42,2024-W42,2,108666,2593776.996637583,23.869259903167347
2024,42,2024-W42,3,6272,50813.060077905655,8.101572078747713
2024,42,2024-W42,4,18502,31447.760084867477,1.6996951726768716
2024,43,2024-W43,0,91822,2295569.6605162285,25.00021411553036
2024,43,2024-W43,1,670232,20755084.80858922,30.967015613383456
2024,43,2024-W43,2,110499,2642882.647569418,23.917706473084987
2024,43,2024-W43,3,6551,51901.88005006313,7.922741573815163
2024,43,2024-W43,4,19361,32056.26004433632,1.6557130336416672
2024,44,2024-W44,0,99774,2446330.800001109,24.51872030790696
2024,44,2024-W44,1,663233,19796725.210257053,29.84882418434706
2024,44,2024-W44,2,109418,2552656.526474476,23.3294021685141
2024,44,2024-W44,3,6625,386211.7075006962,58.296106792557914
2024,44,2024-W44,4,18364,32282.380057811737,1.7579165790574895
2024,45,2024-W45,0,62370,1539863.6998897288,24.689172677404663
2024,45,2024-W45,1,634744,18924846.387944717,29.81492757386398
2024,45,2024-W45,2,101995,2308548.985259533,22.633942695813843
2024,45,2024-W45,3,6128,44754.97007083893,7.303356734797475
2024,45,2024-W45,4,18175,30074.94006896019,1.654742232129859
2024,46,2024-W46,0,111188,2693333.820096517,24.2232418974756
2024,46,2024-W46,1,675453,20477852.447971344,30.317212963701905
2024,46,2024-W46,2,105420,2391305.945581913,22.683607907246376
2024,46,2024-W46,3,6067,36821.88007521629,6.0692071988159375
2024,46,2024-W46,4,16818,-11333.08013343811,-0.6738661037839285
2024,47,2024-W47,0,104030,2619109.4406728093,25.176482175072664
2024,47,2024-W47,1,684377,20276330.949760675,29.6274289605885
2024,47,2024-W47,2,104971,2363355.045196533,22.51436153982084
2024,47,2024-W47,3,6376,44008.66004526615,6.902236519019158
2024,47,2024-W47,4,18405,27878.350034356117,1.5147161116194576
2024,48,2024-W48,0,55643,1422089.7202617116,25.557387636570848
2024,48,2024-W48,1,504613,15181662.786085129,30.08575440205688
2024,48,2024-W48,2,103236,2352757.135932088,22.79008423352404
2024,48,2024-W48,3,6236,44752.45001411438,7.176467288985629
2024,48,2024-W48,4,18010,23629.960072159767,1.312046644761786
2024,49,2024-W49,0,72100,1907172.9802358896,26.451775037945765
2024,49,2024-W49,1,722489,22586857.8064121,31.26256289910587
2024,49,2024-W49,2,114313,2704286.3860661983,23.656857803278704
2024,49,2024-W49,3,6715,51998.550231933594,7.7436411365500515
2024,49,2024-W49,4,19990,19955.56999439001,0.9982776385387699
2024,50,2024-W50,0,98339,2834175.760648556,28.82046553908984
2024,50,2024-W50,1,762643,23522949.495030403,30.84398531820315
2024,50,2024-W50,2,113615,2635525.195344448,23.19698275178848
2024,50,2024-W50,3,6739,48925.570100307465,7.2600638225712215
2024,50,2024-W50,4,20303,18761.93994307518,0.9240969286841935
2024,51,2024-W51,0,93284,2732316.3898594137,29.29030047874677
2024,51,2024-W51,1,671477,19423908.848403692,28.927139497560887
2024,51,2024-W51,2,114062,2595922.8153500557,22.75887513238463
2024,51,2024-W51,3,6653,47548.290023088455,7.146894637470082
2024,51,2024-W51,4,21261,22764.33001756668,1.0707083400388826
2024,52,2024-W52,0,41803,1142034.239946274,27.319432575324118
2024,52,2024-W52,1,386662,11699305.960668802,30.257190933344372
2024,52,2024-W52,2,104478,2450781.3158529997,23.457391181425752
2024,52,2024-W52,3,5995,36701.2200101614,6.121971644730842
2024,52,2024-W52,4,19060,1646.970031261444,0.08640976029703275
2025,2,2025-W02,1,1,47.619998931884766,47.619998931884766
2025,3,2025-W03,1,1,20.700000762939453,20.700000762939453
2025,6,2025-W06,1,1,43.25,43.25
2025,9,2025-W09,2,1,33.20000076293945,33.20000076293945
2025,12,2025-W12,1,1,19.68000030517578,19.68000030517578
2026,26,2026-W26,1,2,86.56999969482422,43.28499984741211
