ride_date,total_rides,total_revenue,avg_fare
2024-12-02,112167,3438121.977512369,30.65181361284842
2024-12-03,129263,3803331.1463580728,29.42320034625587
2024-12-04,133796,3938576.5660777185,29.437177240558153
2024-12-05,148377,4407630.966032991,29.705621262277788
2024-12-06,147460,4285036.525913486,29.05897549107206
2024-12-07,145899,3891236.504949359,26.670755145335878
2024-12-08,118645,3506337.6060965154,29.55318476207607
2024-12-09,118424,3553788.376706619,30.009021623206603
2024-12-10,138189,4084285.365775943,29.555792181548046
2024-12-11,143326,4317132.846142063,30.12107256284319
2024-12-12,156911,4826693.295777395,30.76070699809061
2024-12-13,159845,4546475.956306605,28.44302891117398
2024-12-14,159150,4209189.664358415,26.447940083936
2024-12-15,125794,3522772.4559997506,28.004296357534944
2024-12-16,115355,3296082.0469486713,28.573378240636917
2024-12-17,131046,3624628.686273832,27.659208875309677
2024-12-18,140692,3943827.44625628,28.031639654395985
2024-12-19,144181,4025275.696082592,27.9182118037924
2024-12-20,138973,3768598.2565956116,27.117485098512745
2024-12-21,131279,3379850.505564645,25.745553405835242
2024-12-22,105211,2784198.035932185,26.462993754761243
2024-12-23,95016,2639863.5678616855,27.783358253996017
2024-12-24,80805,1987034.91857172,24.5904946299328
2024-12-25,54764,1424731.3587698936,26.015838119383055
2024-12-26,74814,2144048.818350911,28.65839038616985
2024-12-27,84802,2453799.258278856,28.93562956391189
2024-12-28,88213,2376383.06715405,26.93914805248716
2024-12-29,79584,2304608.7175223827,28.95819156516866
2024-12-30,82021,2366546.328589076,28.852931914864197
2024-12-31,88697,2162510.1090982426,24.380870932480722
2025-01-06,1,47.619998931884766,47.619998931884766
2025-01-16,1,20.700000762939453,20.700000762939453
2025-02-09,1,43.25,43.25
2025-03-02,1,33.20000076293945,33.20000076293945
2025-03-23,1,19.68000030517578,19.68000030517578
2026-06-26,2,86.56999969482422,43.28499984741211
